rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
1,0.9825941300706431,0.004575572343059617,0.9860468752299975,0.005945968741957869,0.9860099121815493,0.003972883048307117,0.9860162152466133,0.0036734221421948795,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5}"
2,0.9799168641423393,0.006271493161072734,0.9792770800629318,0.008356691821990087,0.9887024316726082,0.003139920421628756,0.9839513493076364,0.004971338767332816,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5}"
3,0.97958185576713,0.005448984293743962,0.975705303121171,0.007419607681430675,0.9919311364229199,0.001700171513215051,0.9837399831510212,0.004297270023841654,"{'classifier__class_weight': None, 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 5}"
4,0.9795835364111527,0.003581351856430691,0.9802790174887734,0.005354842796277172,0.9870880792974525,0.0062280976219594815,0.983646059004438,0.002884804508741776,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
5,0.97958185576713,0.005753551329595802,0.9839285628192387,0.007554491192501249,0.98331884183984,0.008585790303829131,0.9835793790922072,0.004654703752347112,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
6,0.97958185576713,0.004169810176025142,0.9865201367838174,0.005844459827675518,0.9806292206474799,0.0062497589508428,0.9835403164343093,0.0033829494555113106,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}"
7,0.9792474076065949,0.005769711390023635,0.9802962534195341,0.008524672991284269,0.9865518940381997,0.004498195528797356,0.9833877279213571,0.004571775084383244,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}"
8,0.9789123992313854,0.004934889569204299,0.9787453950383863,0.007717453099526172,0.9876257137060547,0.004992405531231911,0.9831378403475537,0.003909318467003242,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
9,0.9789123992313854,0.005674991406929184,0.9792022998235858,0.005663200719139173,0.9870851809987536,0.0046464767796142795,0.9831216451925492,0.00454632227736511,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}"
10,0.9789146400900826,0.0034512318618150338,0.981847231694865,0.006680401585967306,0.984401356403791,0.00889769369022136,0.9830675372540523,0.002831400065735523,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
11,0.9789146400900826,0.004317098245827969,0.9818146234603485,0.005573805170988157,0.9843999072544417,0.008569045694417273,0.983064944168419,0.0035179685620026183,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
12,0.9785785112855245,0.0038879917906626507,0.9736339018659171,0.005179763445005886,0.9924687708315219,0.0010774754316412456,0.9829560217241806,0.003060413649037408,"{'classifier__class_weight': None, 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 10}"
13,0.978242942695641,0.005090273301992168,0.9751804490504721,0.008255435224893129,0.9903167840477639,0.0036481413129725733,0.9826645013054132,0.003997102985581116,"{'classifier__class_weight': None, 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 2}"
14,0.9782435029103151,0.005512948878069542,0.9781527913338628,0.005156291017425457,0.9870851809987536,0.0046464767796142795,0.9825940763040197,0.0044218308093477085,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10}"
15,0.9775740463745708,0.006837272275468802,0.9849806384237685,0.008077610686003763,0.9790148682723242,0.014074963600254413,0.9818858810801266,0.005637225125336367,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
16,0.9772395982140356,0.005043682933191013,0.9761341374502821,0.007348057413780935,0.987627162855404,0.004987399861989046,0.9818228258675807,0.003992473681869397,"{'classifier__class_weight': None, 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 1}"
17,0.9772407186433842,0.006321368998034567,0.9807140835063739,0.006166204220777675,0.9827826565805873,0.008612780423335051,0.9817170693957333,0.0051101370496095,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
18,0.9769051500535004,0.0035899402583671,0.9792670715702304,0.009655383625357087,0.9838622728458395,0.007009916629181811,0.9814949181645499,0.0028057284221805028,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 5}"
19,0.9765712621076397,0.007852011402069663,0.9832867011472025,0.007443149846575312,0.9790192157203721,0.008573430872423746,0.9811236584007433,0.006355291571093525,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10}"
20,0.9765718223223139,0.00550376148844045,0.983874255380196,0.006901379246195788,0.9784815813117701,0.011904019137422934,0.981094110327204,0.004558498120484391,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
21,0.9762368139471045,0.0076638255259654925,0.9832822342691039,0.007438028965605108,0.9784815813117701,0.00867317689443408,0.9808486218208783,0.0062045765676944,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}"
22,0.9759029260012436,0.0031076483996512233,0.9792966085299177,0.009594225017046806,0.9822493696200331,0.013013685033008844,0.9806439195501694,0.002664994805852726,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 1}"
23,0.9742290045545452,0.005461734697291361,0.9798229421765097,0.01067887144965819,0.9790206648697215,0.01703584349986088,0.9792345902881303,0.004644173829517463,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 2}"
24,0.9738956768233586,0.006038873987840975,0.9797048817857773,0.009849984501287695,0.9784844796104686,0.012019619477520305,0.9789955514793391,0.004904656170682497,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 8, 'classifier__min_samples_leaf': 10}"
25,0.9718850663574283,0.005134712500586613,0.9666211310978738,0.012819571281513686,0.989247311827957,0.008500746398302087,0.9776953271551856,0.0039053826862562205,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 10}"
26,0.9715506181968931,0.004978459087325131,0.9666045542226147,0.012817179289358868,0.9887096774193548,0.008398117931082416,0.9774240717512693,0.0037752872768942545,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 5}"
27,0.9708817218758229,0.003919273872590631,0.9670724780014227,0.01271296989394393,0.9870967741935484,0.008899432987767115,0.9768650598642866,0.0028891231985827487,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1}"
