rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
1,0.9183391875766794,0.004432072674255164,0.9736183176714835,0.0031063387221477883,0.8929469901168015,0.0069900205192868605,0.931522010573785,0.003974525366809813,"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced'}"
2,0.9170002745051905,0.004065644902227968,0.9594922310927977,0.001312551658900663,0.9047836420021447,0.005857625871162316,0.9313280031056683,0.0035796291930114757,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}"
3,0.916667506988678,0.005631906523763398,0.9568572721074646,0.003420654239492001,0.9069341796365533,0.00635056266869359,0.9312228009323041,0.004820706910684408,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}"
4,0.9156630420777242,0.006490182723114505,0.9547084160681572,0.0037820612724279302,0.9074718140451555,0.0072076965152247305,0.9304867722877577,0.00553681433747563,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced'}"
5,0.9156630420777242,0.007530766977491017,0.955220336916207,0.004724356546874055,0.906932730487204,0.007986532246670525,0.9304463406181899,0.006398279755436287,"{'classifier__C': 100.0, 'classifier__class_weight': 'balanced'}"
6,0.9113124149173963,0.008398469457815258,0.9235225359665724,0.008073645195880908,0.9349100078254065,0.008056577575706792,0.9291599221141299,0.006719661199320745,"{'classifier__C': 0.1, 'classifier__class_weight': None}"
7,0.9086345887744184,0.009622309117746846,0.9227653962417035,0.009755942968343456,0.931140770367794,0.007950486341796226,0.9269114639187755,0.007650469815342754,"{'classifier__C': 100.0, 'classifier__class_weight': None}"
7,0.9086345887744184,0.009622309117746846,0.9227653962417035,0.009755942968343456,0.931140770367794,0.007950486341796226,0.9269114639187755,0.007650469815342754,"{'classifier__C': 10.0, 'classifier__class_weight': None}"
9,0.9083007008285575,0.010059874347490727,0.9231727006488617,0.010131241816828384,0.9300655015505898,0.007456844930984927,0.9265889642390892,0.00797243178125189,"{'classifier__C': 1.0, 'classifier__class_weight': None}"
10,0.9066278998112077,0.008676935506752696,0.9132314992913646,0.009034401431830626,0.9392139813929223,0.006275908302475264,0.9260235563279766,0.006769913929385621,"{'classifier__C': 0.01, 'classifier__class_weight': None}"
