rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
1,0.9755673574113601,0.00514609906539618,0.9806541274710161,0.005861019442455078,0.9800959336869257,0.004989619237992236,0.9803619376818432,0.004114297091614159,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
2,0.975232909250825,0.0051231468092953186,0.9801194862550388,0.005416364658188535,0.9800959336869257,0.004989619237992236,0.9800971384696757,0.004102079696692356,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}"
3,0.9752317888214763,0.008887112812448592,0.9801378587722553,0.00843326280704051,0.9800886879401791,0.00863513795106225,0.9800908322326902,0.007155296115906495,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2}"
3,0.9752317888214763,0.008887112812448592,0.9801378587722553,0.00843326280704051,0.9800886879401791,0.00863513795106225,0.9800908322326902,0.007155296115906495,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
5,0.9728900914830563,0.007442339798384087,0.9800453391129406,0.007063352216721435,0.976325247079964,0.006484606705892182,0.9781713690660933,0.005995672934506725,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
6,0.9715522988409159,0.00560146099790033,0.9852986696107034,0.007627057889512867,0.9687940179114859,0.006080381656909486,0.9769486437653063,0.004513414578347823,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
6,0.9715522988409159,0.00560146099790033,0.9852986696107034,0.007627057889512867,0.9687940179114859,0.006080381656909486,0.9769486437653063,0.004513414578347823,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}"
8,0.9712172904657065,0.005838871298511328,0.9779197395801988,0.0061322640184000065,0.9757890618207112,0.0045293755806539646,0.976845924676913,0.004688153393644463,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
9,0.9695416883749853,0.006223603407784196,0.9863016313038102,0.006089076079254961,0.9644871460452714,0.009582530507284914,0.9752320568994263,0.005163021917789225,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
9,0.9695416883749853,0.006223603407784196,0.9863016313038102,0.006089076079254961,0.9644871460452714,0.009582530507284914,0.9752320568994263,0.005163021917789225,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2}"
11,0.9685417051814256,0.003405088941685287,0.9873827867945515,0.0072767242335173635,0.9618033214503086,0.005248243172906175,0.974391683707301,0.0027148145469218237,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
12,0.9675338789824262,0.004335698437360519,0.988411957300954,0.005461327410227975,0.95911080195925,0.007912532475155207,0.9735061089261043,0.003630003762463842,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
